Date,Open,High,Low,Close,Volume,Count,WAP
20230322 13:06:20 America/Los_Angeles,26921.125,26921.125,26905.5,26905.5,-1,-1,-1
20230322 13:06:25 America/Los_Angeles,26905.5,26905.5,26901.375,26901.375,-1,-1,-1
20230322 13:06:30 America/Los_Angeles,26901.375,26901.375,26900.625,26900.625,-1,-1,-1
20230322 13:06:35 America/Los_Angeles,26900.625,26900.625,26889.125,26889.125,-1,-1,-1
20230322 13:06:40 America/Los_Angeles,26889.125,26897.75,26889.125,26891.875,-1,-1,-1
20230322 13:06:45 America/Los_Angeles,26891.875,26891.875,26889.375,26889.375,-1,-1,-1
20230322 13:06:50 America/Los_Angeles,26889.375,26892.125,26889.375,26892.125,-1,-1,-1
20230322 13:06:55 America/Los_Angeles,26892.125,26902.125,26892.125,26902.125,-1,-1,-1
20230322 13:07:00 America/Los_Angeles,26902.125,26902.125,26896.125,26896.125,-1,-1,-1
20230322 13:07:05 America/Los_Angeles,26896.125,26896.125,26896.125,26896.125,-1,-1,-1
20230322 13:07:10 America/Los_Angeles,26896.125,26896.125,26889.375,26889.375,-1,-1,-1
20230322 13:07:15 America/Los_Angeles,26889.375,26889.375,26889.375,26889.375,-1,-1,-1
20230322 13:07:20 America/Los_Angeles,26889.375,26905.0,26889.375,26905.0,-1,-1,-1
20230322 13:07:25 America/Los_Angeles,26905.0,26907.375,26905.0,26907.375,-1,-1,-1
20230322 13:07:30 America/Los_Angeles,26907.375,26907.375,26907.375,26907.375,-1,-1,-1
20230322 13:07:35 America/Los_Angeles,26907.375,26920.0,26907.375,26918.875,-1,-1,-1
20230322 13:07:40 America/Los_Angeles,26918.875,26944.125,26918.875,26942.875,-1,-1,-1
20230322 13:07:45 America/Los_Angeles,26942.875,26947.125,26933.75,26934.125,-1,-1,-1
20230322 13:07:50 America/Los_Angeles,26934.125,26934.125,26913.375,26914.625,-1,-1,-1
20230322 13:07:55 America/Los_Angeles,26914.625,26919.25,26907.125,26918.0,-1,-1,-1
20230322 13:08:00 America/Los_Angeles,26918.0,26920.875,26918.0,26920.875,-1,-1,-1
20230322 13:08:05 America/Los_Angeles,26920.875,26930.625,26920.875,26930.625,-1,-1,-1
20230322 13:08:10 America/Los_Angeles,26930.625,26942.125,26930.625,26942.125,-1,-1,-1
20230322 13:08:15 America/Los_Angeles,26942.125,26959.875,26942.125,26959.875,-1,-1,-1
20230322 13:08:20 America/Los_Angeles,26959.875,26977.375,26959.875,26977.375,-1,-1,-1
20230322 13:08:25 America/Los_Angeles,26977.375,26986.375,26977.375,26986.375,-1,-1,-1
20230322 13:08:30 America/Los_Angeles,26986.375,27002.375,26986.375,27002.375,-1,-1,-1
20230322 13:08:35 America/Los_Angeles,27002.375,27004.125,26994.375,26999.375,-1,-1,-1
20230322 13:08:40 America/Los_Angeles,26999.375,26999.375,26979.875,26996.125,-1,-1,-1
20230322 13:08:45 America/Los_Angeles,26996.125,26997.125,26996.125,26997.125,-1,-1,-1
20230322 13:08:50 America/Los_Angeles,26997.125,27015.75,26987.125,27015.5,-1,-1,-1
20230322 13:08:55 America/Los_Angeles,27015.5,27016.625,27008.75,27009.875,-1,-1,-1
20230322 13:09:00 America/Los_Angeles,27009.875,27017.375,27009.875,27017.375,-1,-1,-1
20230322 13:09:05 America/Los_Angeles,27017.375,27024.125,27017.375,27024.125,-1,-1,-1
20230322 13:09:10 America/Los_Angeles,27024.125,27046.375,27024.125,27046.375,-1,-1,-1
20230322 13:09:15 America/Los_Angeles,27046.375,27052.125,27046.375,27052.125,-1,-1,-1
20230322 13:09:20 America/Los_Angeles,27052.125,27052.375,27052.125,27052.375,-1,-1,-1
20230322 13:09:25 America/Los_Angeles,27052.375,27052.375,27036.875,27046.875,-1,-1,-1
20230322 13:09:30 America/Los_Angeles,27046.875,27048.875,27046.875,27048.625,-1,-1,-1
20230322 13:09:35 America/Los_Angeles,27048.625,27058.125,27048.625,27053.125,-1,-1,-1
20230322 13:09:40 America/Los_Angeles,27053.125,27053.125,27038.625,27038.625,-1,-1,-1
