Date,Open,High,Low,Close,Volume,Count,WAP
20220324 13:06:20 America/Los_Angeles,43913.625,43913.625,43913.625,43913.625,-1,-1,-1
20220324 13:06:25 America/Los_Angeles,43913.625,43913.625,43913.625,43913.625,-1,-1,-1
20220324 13:06:30 America/Los_Angeles,43913.625,43913.625,43913.625,43913.625,-1,-1,-1
20220324 13:06:35 America/Los_Angeles,43913.625,43913.625,43913.625,43913.625,-1,-1,-1
20220324 13:06:40 America/Los_Angeles,43913.625,43913.625,43905.125,43905.125,-1,-1,-1
20220324 13:06:45 America/Los_Angeles,43905.125,43905.125,43905.125,43905.125,-1,-1,-1
20220324 13:06:50 America/Los_Angeles,43905.125,43905.125,43905.125,43905.125,-1,-1,-1
20220324 13:06:55 America/Los_Angeles,43905.125,43905.125,43905.125,43905.125,-1,-1,-1
20220324 13:07:00 America/Los_Angeles,43905.125,43905.125,43905.125,43905.125,-1,-1,-1
20220324 13:07:05 America/Los_Angeles,43905.125,43905.125,43905.125,43905.125,-1,-1,-1
20220324 13:07:10 America/Los_Angeles,43905.125,43905.125,43905.125,43905.125,-1,-1,-1
20220324 13:07:15 America/Los_Angeles,43905.125,43905.125,43905.125,43905.125,-1,-1,-1
20220324 13:07:20 America/Los_Angeles,43905.125,43905.125,43905.125,43905.125,-1,-1,-1
20220324 13:07:25 America/Los_Angeles,43905.125,43906.875,43905.125,43906.875,-1,-1,-1
20220324 13:07:30 America/Los_Angeles,43906.875,43906.875,43906.875,43906.875,-1,-1,-1
20220324 13:07:35 America/Los_Angeles,43906.875,43906.875,43906.875,43906.875,-1,-1,-1
20220324 13:07:40 America/Los_Angeles,43906.875,43906.875,43906.875,43906.875,-1,-1,-1
20220324 13:07:45 America/Los_Angeles,43906.875,43913.375,43906.875,43913.375,-1,-1,-1
20220324 13:07:50 America/Los_Angeles,43913.375,43913.625,43913.375,43913.625,-1,-1,-1
20220324 13:07:55 America/Los_Angeles,43913.625,43913.625,43913.625,43913.625,-1,-1,-1
20220324 13:08:00 America/Los_Angeles,43913.625,43913.875,43913.625,43913.875,-1,-1,-1
20220324 13:08:05 America/Los_Angeles,43913.875,43913.875,43913.875,43913.875,-1,-1,-1
20220324 13:08:10 America/Los_Angeles,43913.875,43916.625,43913.875,43916.625,-1,-1,-1
20220324 13:08:15 America/Los_Angeles,43916.625,43916.625,43916.625,43916.625,-1,-1,-1
20220324 13:08:20 America/Los_Angeles,43916.625,43916.625,43916.625,43916.625,-1,-1,-1
20220324 13:08:25 America/Los_Angeles,43916.625,43916.625,43916.625,43916.625,-1,-1,-1
20220324 13:08:30 America/Los_Angeles,43916.625,43920.875,43916.625,43920.875,-1,-1,-1
20220324 13:08:35 America/Los_Angeles,43920.875,43920.875,43920.875,43920.875,-1,-1,-1
20220324 13:08:40 America/Los_Angeles,43920.875,43921.125,43920.875,43921.125,-1,-1,-1
20220324 13:08:45 America/Los_Angeles,43921.125,43921.125,43921.125,43921.125,-1,-1,-1
20220324 13:08:50 America/Los_Angeles,43921.125,43921.75,43921.125,43921.75,-1,-1,-1
20220324 13:08:55 America/Los_Angeles,43921.75,43921.875,43921.625,43921.625,-1,-1,-1
20220324 13:09:00 America/Los_Angeles,43921.625,43921.625,43909.125,43909.125,-1,-1,-1
20220324 13:09:05 America/Los_Angeles,43909.125,43909.125,43909.125,43909.125,-1,-1,-1
20220324 13:09:10 America/Los_Angeles,43909.125,43909.125,43898.875,43898.875,-1,-1,-1
20220324 13:09:15 America/Los_Angeles,43898.875,43898.875,43892.375,43892.375,-1,-1,-1
20220324 13:09:20 America/Los_Angeles,43892.375,43892.375,43873.75,43878.625,-1,-1,-1
20220324 13:09:25 America/Los_Angeles,43878.625,43878.625,43878.625,43878.625,-1,-1,-1
20220324 13:09:30 America/Los_Angeles,43878.625,43878.625,43878.625,43878.625,-1,-1,-1
20220324 13:09:35 America/Los_Angeles,43878.625,43878.625,43878.625,43878.625,-1,-1,-1
20220324 13:09:40 America/Los_Angeles,43878.625,43878.625,43878.625,43878.625,-1,-1,-1
20220324 13:09:45 America/Los_Angeles,43878.625,43878.625,43878.625,43878.625,-1,-1,-1
